delta	d-dt	Zonotope	Correction-hull	First-order	Forward-backward	Forward
5.0e-6	12.607006970085319	12.653412521361062	12.600004987540247	12.6	12.599999997982644	12.6
1.0e-5	12.629845616487993	12.817276662031066	12.600009950164464	12.707276130348776	12.599999998563373	12.6
1.5e-5	12.671347140107603	13.097256565189912	12.60001488787793	12.932255389512264	12.599999999123462	12.6
2.0e-5	12.73448791550123	13.499306840394192	12.600019800686017	13.279304786936228	12.599999999678504	12.6
2.5e-5	12.82239693485923	14.02968745916044	12.600024688594196	13.754684307875682	12.600000000231518	12.6
3.0e-5	12.938363633680869	14.694979414417777	12.600029551608095	14.36497495899826	12.600000000783513	12.6
3.5e-5	13.085846117722145	15.502101183002528	12.600034389733503	15.11709523087888	12.600000001334921	12.6
4.0e-5	13.268479811791453	16.458326032376014	12.600039202976406	16.018318404717462	12.600000001885961	12.6
4.5e-5	13.490086552023925	17.571300214858756	12.600043991343012	17.07629074657322	12.600000002436758	12.6
5.0e-5	13.754684144374531	18.849062094894183	12.600048754839802	18.29905063462828	12.600000002987382	12.6
5.5e-5	14.06649641323574	20.30006225718931	12.600053493473483	19.695048667328393	12.600000003537874	12.6
6.0e-5	14.429963765311724	21.933184646033112	12.600058207251118	21.273168802701335	12.600000004088276	12.6
6.5e-5	14.849754295169479	23.75776878867329	12.600062896180074	23.042750581733614	12.6000000046386	12.6
7.0e-5	15.330775460242137	25.783633158343417	12.600067560268123	25.01361249139764	12.60000000518886	12.6
7.5e-5	15.878186354483798	28.021099735383874	12.600072199523416	27.19607652577266	12.600000005739076	12.6
8.0e-5	16.497410611372732	30.481019827896404	12.600076813954448	29.600994006699295	12.600000006289251	12.6
8.5e-5	17.19414996853344	33.174801216523505	12.600081403570226	32.23977272855895	12.600000006839393	12.6
9.0e-5	17.974398527903116	36.11443669125581	12.600085968380256	35.12440549508118	12.6000000073895	12.6
9.5e-5	18.84445774710742	39.31253405165273	12.600090508394445	38.26750011956432	12.600000007939585	12.6
0.0001	19.810952199539337	42.78234764552293	12.600095023623362	41.6823176298226	12.600000008489575	12.6
0.0002	73.29071695573089	197.04782379302145	12.600186946111407	195.04775700035106	12.600000017487332	12.6
0.0003	279.6273681535809	688.7738081755278	12.700336595814386	685.7737327558896	12.60000002648003	12.6
0.0004	928.5863081539732	2097.7241065485555	12.80051587818578	2093.724172223198	12.600000035466278	12.6
0.0005	2807.910342929276	6000.447319351844	12.900719237296464	5995.447775732036	12.600000044444227	12.6
0.0006	8059.12059027112	16683.304062429743	13.000941469392632	16677.305258991797	12.600000053411922	12.6
0.0007	22504.057203053424	45800.16106551931	13.10117781116795	45793.163451569635	12.60000006236739	12.6
0.0008	61969.70525465569	125035.84884097107	13.201424028092408	125027.85296560118	12.600000071308637	12.6
0.0009	169482.57353531374	340535.89380796737	13.301676502806997	340526.900319999	12.600000080233674	12.6
0.001	462012.53660376585	926514.9532994555	13.401932323592945	926504.9629473757	12.600000089140497	12.6
0.002	1.0208864895043768e10	2.0458608325338943e10	14.404716110195812	2.0458608305442974e10	12.600000176766745	12.6
0.003	2.2509029251247606e14	4.5153301917428394e14	15.413295155760968	4.515330191742544e14	12.600000260366665	12.6
0.004	4.962904548656977e18	9.965587859921474e18	16.4504079174355	9.965587859921474e18	12.600000337927508	12.6
0.005	1.0942462814947728e23	2.1994613278812605e23	17.56572808096329	2.1994613278812605e23	12.600000407426425	12.6
0.006	2.4126495136586074e27	4.854334938233488e27	18.84528760876236	4.854334938233488e27	12.60000046682725	12.6
0.007	5.319531602890696e31	1.0713790414880304e32	20.42127658714561	1.0713790414880304e32	12.600000514076429	12.6
0.008	1.1728772170990594e36	2.364593842709864e36	22.482317962667523	2.364593842709864e36	12.600000547097908	12.6
0.009	2.5860189751340027e40	5.21879169226189e40	25.284320010909656	5.21879169226189e40	12.600000563786825	12.6
0.01	5.701785355072085e44	1.1518166982964754e45	29.16201516372078	1.1518166982964754e45	12.600000562001776	12.6
