delta	Zonotope	Correction-hull	First-order	Forward-backward	Forward
2.0e-5	0.03256611538013594	0.027038110244497947	0.027	0.026999997631112164	0.027
3.0e-5	0.035569074129223895	0.027057164378704174	0.027172805039872825	0.026999997605750812	0.027
4.0e-5	0.038726153015164896	0.027076217852972657	0.027531125924047082	0.026999992098028617	0.027
5.0e-5	0.04204326245477554	0.027095270666394444	0.028049476613260526	0.026999993177819547	0.027
6.0e-5	0.045526539523298784	0.027114322818086126	0.028733994225175252	0.026999997567421302	0.027
7.0e-5	0.04918235664652831	0.02713337430719811	0.02959105122800147	0.026999997560274016	0.027
8.0e-5	0.05301733062625792	0.02715242513291938	0.0306272644659498	0.026999997554620823	0.027
9.0e-5	0.05703833201185161	0.0271714752944834	0.031849504530800474	0.02699999755010391	0.027
0.0001	0.06125249483119985	0.02719052479117713	0.033264905492862665	0.026999997546479974	0.027
0.0002	0.11579732000296972	0.027380983083114464	0.05982209191345361	0.026999997535491076	0.027
0.0003	0.19990642279722198	0.027571435698187874	0.1160455094915762	0.026999997072397416	0.027
0.0004	0.32708821073465233	0.027761973400970533	0.21671438394539436	0.026999997006217975	0.027
0.0005	0.5170231313165544	0.027952599027379052	0.3806179457794754	0.0269999974513665	0.027
0.0006	0.7984856824563844	0.02824513311841419	0.6365367118444759	0.026999997564892433	0.027
0.0007	1.213686749055216	0.029076879033632843	1.0259366473393214	0.026999997862203178	0.027
0.0008	1.8231401678161838	0.03010121571445313	1.6094690294214418	0.02699999290946969	0.027
0.0009	2.715398307007565	0.03120216121978394	2.4758144116126615	0.02767156267955268	0.02769438950066385
0.001	4.019702609720921	0.0324391437754338	3.7542580309769824	0.029275523745480956	0.02930440884560384
0.002	180.18662669857167	0.04878582048184858	179.66034777455909	0.04704307924239162	0.04718700575042791
0.003	7774.146493527049	0.06733458289873294	7773.3580523384535	0.06556902859552155	0.06595696192142368
0.004	334969.3468886665	0.086467555050214	334968.2962178599	0.08427731768691453	0.08508139252682441
0.005	1.4432430453482896e7	0.10642602711439558	1.4432429140425734e7	0.10290686629694332	0.10434287623544736
0.006	6.218324173751122e8	0.12771904728862787	6.218324157996136e8	0.12139781599341898	0.12372582435087555
0.007	2.6792129267556767e10	0.15132721447217362	2.6792129265718838e10	0.13971607019505983	0.1432411450832761
0.008	1.1543595508710454e12	0.17855780606522043	1.154359550868939e12	0.1577853768341144	0.16285845265499888
0.009	4.9736471459500016e13	0.2112224991357614	4.973647145949772e13	0.17559185668967361	0.1826107247266075
0.01	2.1429342282251072e15	0.2517009016092553	2.1429342282251168e15	0.19313474959815577	0.20254518073164562
0.011	9.232997379474402e16	0.302974638325889	9.232997379474406e16	0.21042037494746393	0.2227173779246323
0.012	3.9781081232711803e18	0.3687627115810594	3.9781081232711987e18	0.22743219354932256	0.24316141264922295
0.013	1.7139985629820446e20	0.45351019775120793	1.7139985629820404e20	0.2440792580118283	0.26383851437162836
0.014	7.384894987441382e21	0.562537936335324	7.384894987441352e21	0.2603007675956907	0.28474174889870185
0.015	3.1818389556086976e23	0.7021218404200019	3.181838955608708e23	0.27608196076266084	0.30591206444376073
0.016	1.3709198514868734e25	0.8795774854751192	1.3709198514868739e25	0.29141358047627297	0.3273979160686862
0.017	5.906713901682182e26	1.1033551550624159	5.906713901682157e26	0.3062612770703549	0.3492248338037493
0.018	2.544953235485255e28	1.3831587572265374	2.544953235485248e28	0.3205925370191061	0.37142252327549546
0.019	1.0965127274849797e30	1.7299997159488583	1.0965127274849755e30	0.33438990840647087	0.39403827022147014
0.02	4.724409646400805e31	2.1563671604014156	4.724409646400789e31	0.3476379956058179	0.41712412182299624
