delta	d-dt	Zonotope	Correction-hull	First-order	Forward-backward	Forward
5.0e-6	0.026339405405405407	0.03205543243243244	0.37579440540540543	0.01306864864864865	5.869009864864865	0.054335540540540544
1.0e-5	0.02667886486486487	0.039092756756756754	0.4945607297297297	0.014660054054054053	5.933539702702703	0.05399897297297297
1.5e-5	0.026587081081081085	0.038614	0.48568518918918924	0.01294072972972973	5.7543111351351355	0.05402529729729731
2.0e-5	0.02713859459459459	0.03960813513513512	0.513563054054054	0.013269918918918917	5.897210837837836	0.055492243243243256
2.5e-5	0.02578308108108108	0.03837191891891892	0.4507225135135135	0.013673378378378377	5.775761864864865	0.05787297297297298
3.0e-5	0.025735837837837835	0.03712351351351352	0.34321932432432434	0.012703216216216215	6.3473793783783785	0.049325405405405406
3.5e-5	0.026364918918918918	0.03158948648648648	0.454703054054054	0.013509135135135136	5.954942027027028	0.05274424324324324
4.0e-5	0.0249367027027027	0.039174243243243236	0.45374427027027026	0.012661756756756758	5.700654216216216	0.05246602702702703
4.5e-5	0.025815945945945943	0.03578027027027027	0.49994783783783786	0.012763270270270272	5.738022945945946	0.05920881081081081
5.0e-5	0.028252594594594595	0.03499656756756757	0.4411214864864865	0.01367945945945946	6.078552702702702	0.053086162162162165
5.5e-5	0.02588816216216216	0.038795243243243245	0.4402313243243243	0.013937648648648649	5.79623445945946	0.11554305405405406
6.0e-5	0.05867227027027027	0.08567797297297298	0.9311637027027028	0.03047286486486486	6.680209432432433	0.1605291891891892
6.5e-5	0.08032613513513513	0.10694197297297299	0.7289837837837836	0.015119621621621624	6.203135513513514	0.055580297297297285
7.0e-5	0.03603291891891892	0.041224351351351364	0.5071238108108108	0.01392754054054054	6.0683305945945945	0.06017997297297298
7.5e-5	0.02736481081081081	0.03855513513513514	0.5091961621621621	0.014728945945945947	5.502870702702703	0.062440432432432434
8.0e-5	0.02874981081081081	0.041511162162162156	0.5457367027027028	0.014756270270270273	5.278544135135134	0.053231648648648655
8.5e-5	0.030143	0.03691751351351351	0.43124135135135133	0.012894243243243245	5.169598918918918	0.05420002702702703
9.0e-5	0.02699164864864865	0.03983786486486486	0.503214783783784	0.012643783783783785	5.072768459459458	0.05247875675675676
9.5e-5	0.027000540540540543	0.03571627027027027	0.4305	0.013080027027027027	5.663321297297298	0.054858270270270265
0.0001	0.028935486486486486	0.036261675675675675	0.5334846486486485	0.013342432432432435	6.012948702702704	0.051953567567567575
0.0002	0.060504081081081074	0.3103571081081082	1.269702135135135	0.014886378378378378	5.8589983243243235	0.06492145945945946
0.0003	0.029297621621621618	0.041325891891891904	0.504732162162162	0.01703975675675676	6.890274027027027	0.057058081081081076
0.0004	0.02698859459459459	0.040341108108108106	0.45937708108108105	0.013864162162162161	6.48295108108108	0.0644248108108108
0.0005	0.026354459459459453	0.03786864864864866	0.539553891891892	0.01370145945945946	6.481423135135135	0.06035929729729729
0.0006	0.15085613513513513	0.03969016216216217	0.4656176216216216	0.013930756756756753	6.910121891891893	0.053380945945945946
0.0007	0.028228189189189196	0.03513543243243243	0.447294054054054	0.012684000000000003	6.625782378378379	0.053861729729729725
0.0008	0.025825054054054053	0.0343212972972973	0.39155205405405413	0.014772540540540544	6.527693999999999	0.05748818918918918
0.0009	0.026617513513513512	0.0368341081081081	0.5158506486486486	0.013929513513513512	6.507744675675675	0.056840702702702715
0.001	0.026631648648648643	0.03669375675675675	0.473368972972973	0.013872081081081084	6.386431027027028	0.06428054054054054
0.002	0.032982594594594586	0.03811921621621621	0.5233875945945945	0.014993486486486485	6.544646378378379	0.06132148648648647
0.003	0.027509432432432434	0.038370918918918924	0.4510236756756756	0.015442945945945946	6.849018756756757	0.06234956756756758
0.004	0.027811189189189185	0.03702489189189189	0.39139302702702705	0.016557432432432434	7.241521918918918	0.062146729729729726
0.005	0.03355259459459458	0.043406162162162164	0.5377448918918919	0.015406621621621625	7.19170743243243	0.06234072972972972
0.006	0.03179548648648649	0.04013648648648648	0.4704975945945946	0.015275864864864864	6.253163297297297	0.06254127027027027
0.007	0.029688864864864863	0.04170481081081082	0.4389089189189189	0.015070675675675677	6.224318810810811	0.06433227027027028
0.008	0.0287227027027027	0.04023732432432432	0.4614031081081081	0.018366540540540544	6.256615648648649	0.06623975675675677
0.009	0.029146891891891895	0.040101189189189194	0.5269142972972972	0.016447081081081078	6.292678243243243	0.06788797297297296
0.01	0.02916883783783784	0.04548843243243243	0.4893754054054053	0.016708864864864868	6.249152540540541	0.0675087027027027
